title,error,authors,volume,released,publisher,label,serialization,length,link,iskindle,ranking,rating,reviews,description
推しＶが教え子で私がママで！？ ,,['晩野'],第 3 巻 (全 3 巻) ,2023-08-01,芳文社 ,,,,http://yurinavi.com/2023/06/23/oshiv-3/,Kindle版,,"['4.7', '112']",,【電子限定描き下ろしイラスト付き】VTuberの「つぼみ」として活動するミミと「つぼみ」推しで絵師の佳月は佳月が教育実習でミミの高校にきたことをきっかけにオフラインでも交流するように。そんな中、実はミミが以前から佳月のことを知っていたことが発覚し…？推しが教え子で憧れの絵描きが先生で…その先は！？最前線インターネット百合ラブコメ、完結の第3巻！  
猫娘症候群(かとるすしんどろーむ)【GANMA!版】 ,,['ネコ太郎'],第 8 巻 (全 8 巻) ,2023-08-01,GANMA! ,,,,http://yurinavi.com/2023/07/30/katorusu-ganma-8/,Kindle版,,"['5.0', '50']",,猫娘症候群（カトルスシンドローム）とは、主に０～12歳の少女が突然『猫娘化』する原因不明の病。現代医学で解明できている事は二つ。一つは『可愛い』。もう一つは…『女のコにドキドキする』ということ。（著者名：ネコ太郎/初出：GANMA!83～100話掲載分）  
派遣とバリキャリ ,,['sheepD'],第 4 巻 (全 4 巻) ,2023-08-04,大洋図書 ,,,,http://yurinavi.com/2023/07/18/hakento-barikyari-3/,Kindle版,,"['4.7', '132']",,結婚を諦めた「バリキャリ」は目覚めの悪い夢を見るお年頃(38)。新人の「派遣」は相変わらず可愛いくて、若くて(21)、いつもと変わらない日常を装っていたつもりだったけど…。こんな展開、想定外…。  
突然何となく隣の席の同僚と… ,,"['三浦コズミ', 'NANOKA']",第 5 巻 (全 5 巻) ,2023-08-04,ブリック出版 ,,,,http://yurinavi.com/2023/07/31/totsuzen-nantonaku-4-2/,Kindle版,,"['5.0', '105']",,同棲計画を進めるも、なかなかうまく進まない友香と真美。だって二人でいるとすぐイチャついてしまうから♡本編合間の日常短編を詰め込んだ、『隣席同僚』シリーズ番外編！※本作は三浦コズミの個人誌作品の電子書籍版となります。【34ページ】  
別冊コミックアンリアル わからせ百合編 デジタル版Vol.1,,,,2023-08-04,,,,,http://yurinavi.com/2023/08/21/wakaraseyuri-1/,,,,,
  おかしなエルフと女子高生【 特典付き 】 (2) (バンブーコミックス) ,,['東３８５'],2,2023-08-07,竹書房 ,,,,http://yurinavi.com/2023/05/25/okashina-elf-2/,Kindle版 (Convert),,"['4.9', '57']",,アウインの森でお菓子屋を営むエルフのアリス。ある日ふとしたことから現代日本へと転移してしまい、菓子職人を目指すJK・藍咲るりと出会う。るりから異世界の食材を活かしたお菓子のレシピを教わって、借金完済を目指すが・・・！？新食感スイーツ・ファンタジー、待望の第2巻！★単行本カバー下画像収録★共通の描き下ろし特典ペーパー及び初期設定画2ページを収録しております！    
Do It Yourself!! -どぅー・いっと・ゆあせるふ- ,,"['IMAGO/エイベックス･ピクチャーズ', 'こゆびた べる']",第 3 巻 (全 3 巻) ,2023-08-07,スクウェア・エニックス ,,,,http://yurinavi.com/2023/07/07/do-it-yourself-3/,Kindle版,,"['4.9', '50']",,廃部寸前のDIY部に入部した高校一年生の”せるふ”。 その幼馴染の”ぷりん”は、”せるふ”からDIY部に入部しないかと誘いを受けるのだが、いまだ素直になれず、その誘いを断ってしまう。一方、天才留学生”ジョブ子”とぷりんの同級生”しー”を新たな仲間に加え、DIY部のシンボル「ツリーハウス」作りに着手する一同。順調に見えたその道のりにもある問題が発生して――。これは家具や友情、ひいては人生までも、考え、工夫し、苦労し、失敗し、それでも諦めずに自分の手で完成させ、未来を切り開いていこうとする少女たちの、その最初の一歩を描く物語である。  
魔王城デート大作戦！ ,,['涼海来夏'],第 1 巻 (全 1 巻) ,2023-08-08,キルタイムコミュニケーション ,,,,http://yurinavi.com/2023/07/05/maoujyo-dating-1/,Kindle版,,"['4.7', '59']",,捕らわれの姫とキュートな魔王が禁断イチャラブデート！種族を超えた恋の行く末は！？魔王ディアナの支配するブロスフェル城に捕らわれたリスリア国の姫ククル。あわや命の危機…と思いきや、対面したディアナからプロポーズされてしまう。困惑するククルだが、隙をみて城から逃げ出すため、ディアナに魔王城でのデートを提案することに──。人間の姫と魔王の少女が織り成す百合ラブコメディ！  
LatteComi コミックアンソロジー【百合】 ,,['LatteComi'],第 2 巻 (全 2 巻) ,2023-08-08,ブシロードワークス ,,,,http://yurinavi.com/2023/08/21/jyoshikounooujisamaha-1/,Kindle版,,"['5.0', '38']",,私が通う学園には、いわゆる「女子校の王子様」がいる。容姿端麗でなんでもできちゃう、みんなに好かれる王子様。でもなぜか、その王子様は私にしか興味がないようで――!? キラキラ系、運動部系、隠れオタク系など、いろんな王子様との短編ラブコメがつまった百合コミックアンソロジー。  
花唄メモワール ,,['一ノ瀬けい'],第 1 巻 (全 2 巻) ,2023-08-09,芳文社 ,,,,http://yurinavi.com/2023/07/08/hanauta-1/,Kindle版,,"['4.8', '61']",,高校最後の夏休み、ひいばあちゃんが営む旅館「花瀧屋」の手伝いにやってきた佐々木梅。到着したその夜、梅は露天風呂で滑って、湯船に落ちてしまう。引っ張り上げてくれたのは…〝ねえさま〟と呼んでくる不思議な少女・藤野だった。いつもと変わらない花瀧屋。だけど、炭を使った見知らぬ暖房器具があったり、そもそも季節が夏から冬になっていたり。これって、もしかして…〝タイムスリップ〟？時代を越え、少女たちの一途な思いが交差する青春冒険譚、第1巻。  
