title,authors,released,publisher,label,serialization,volume,notification,entry link,img src
推しVが教え子で私がママで!? (3),晩野,2023-08-01,芳文社,FUZ,,3,,http://yurinavi.com/2023/06/23/oshiv-3/,http://yurinavi.com/wp-content/uploads/2023/06/oshiv-3.jpg
猫娘症候群 (8),ネコ太郎,2023-08-01,GANMA,,,8,,http://yurinavi.com/2023/07/30/katorusu-ganma-8/,http://yurinavi.com/wp-content/uploads/2023/07/katorusu-ganma-8.jpg
派遣とバリキャリ (3),sheepD,2023-08-04,大洋図書,LiLy Love,,3,,http://yurinavi.com/2023/07/18/hakento-barikyari-3/,http://yurinavi.com/wp-content/uploads/2023/07/hakento-barikyari-3.jpg
突然何となく隣の席の同僚とキスしたくなりました。(2.5),三浦コズミ,2023-08-04,ブリック,BLIC-GL,,2,,http://yurinavi.com/2023/07/31/totsuzen-nantonaku-4-2/,http://yurinavi.com/wp-content/uploads/2023/07/totsuzen-nantonaku-4-2.jpg
別冊コミックアンリアル わからせ百合編 デジタル版Vol.1,アンソロジー,2023-08-04,ｷﾙﾀｲﾑ,ｱﾝﾘｱﾙ,,1,,http://yurinavi.com/2023/08/21/wakaraseyuri-1/,http://yurinavi.com/wp-content/uploads/2023/08/wakaraseyuri-1-kakushi.jpg
おかしなエルフと女子高生 (2),東385,2023-08-07,竹書房,バンブー,,2,,http://yurinavi.com/2023/05/25/okashina-elf-2/,http://yurinavi.com/wp-content/uploads/2023/05/okashina-elf-2.jpg
Do It Yourself!! -どぅー・いっと・ゆあせるふ- (3),こゆびた べる,2023-08-07,スクエニ,ガンガン,,3,,http://yurinavi.com/2023/07/07/do-it-yourself-3/,http://yurinavi.com/wp-content/uploads/2023/08/do-it-yourself-3.jpg
魔王城デート大作戦！(1),涼海来夏,2023-08-08,ｷﾙﾀｲﾑ,ｳﾞｧﾙｷﾘｰ,,1,,http://yurinavi.com/2023/07/05/maoujyo-dating-1/,http://yurinavi.com/wp-content/uploads/2023/07/maoujyo-dating-1.jpg
女子校の王子様は私しか眼中にないらしい 百合アンソロジーコミック①,アンソロジー,2023-08-08,ﾌﾞｼﾛｰﾄﾞ,Latte,,1,True,http://yurinavi.com/2023/08/21/jyoshikounooujisamaha-1/,http://yurinavi.com/wp-content/uploads/2023/08/jyoshikounooujisamaha-1.png
花唄メモワール (1),一ノ瀬けい,2023-08-09,芳文社,きらら,,1,,http://yurinavi.com/2023/07/08/hanauta-1/,http://yurinavi.com/wp-content/uploads/2023/07/hanauta-1.jpg
スローループ (8),うちのまいこ,2023-08-09,芳文社,きらら,,8,,http://yurinavi.com/2023/07/08/slow-loop-8/,http://yurinavi.com/wp-content/uploads/2023/07/slow-loop-8.jpg
ぱちん娘。(4),若林 稔弥,2023-08-09,星海社,,,4,,http://yurinavi.com/2023/07/21/pachinko-4/,http://yurinavi.com/wp-content/uploads/2023/07/pachinko-4.jpg
明日もまた勇者のとなり (1),梶井 スパナ,2023-08-10,カドカワ,エース,,1,,http://yurinavi.com/2023/07/07/asumomata-1/,http://yurinavi.com/wp-content/uploads/2023/07/asumomata-1.jpg
私、能力は平均値でって言ったよね！(4),FUNA / 亜方 逸樹 / iimAn,2023-08-10,スクエニ,ガンガン,,4,,http://yurinavi.com/2023/07/21/heikinchi-comic-4/,http://yurinavi.com/wp-content/uploads/2023/07/heikinchi-comic-4.jpg
サキュバス百合えっち Vol.1,アンソロジー,2023-08-10,ｷﾙﾀｲﾑ,ｱﾝﾘｱﾙ,,1,,http://yurinavi.com/2023/08/29/succubus-yuri-1/,http://yurinavi.com/wp-content/uploads/2023/08/succubus-yuri-1-kakushi-1.jpg
恋と呼ぶには青すぎる (2),真くん,2023-08-12,カドカワ,it,,2,,http://yurinavi.com/2023/07/07/koitoyobuniha-2/,http://yurinavi.com/wp-content/uploads/2023/07/koitoyobuniha-2.jpg
瑠璃の宝石 (4),渋谷 圭一郎,2023-08-12,カドカワ,ハルタ,,4,,http://yurinavi.com/2023/07/31/rurino-houseki-4/,http://yurinavi.com/wp-content/uploads/2023/07/rurino-houseki-4.jpg
魔法少女にあこがれて (10),小野中彰大,2023-08-17,竹書房,バンブー,,10,,http://yurinavi.com/2023/05/21/mahoako-10/,http://yurinavi.com/wp-content/uploads/2023/05/mahoako-10.jpg
舞ちゃんのお姉さん飼育ごはん。(4),秋津貴央,2023-08-17,竹書房,バンブー,,4,,http://yurinavi.com/2023/05/25/maichan-4/,http://yurinavi.com/wp-content/uploads/2023/05/maichan-4.jpg
お姉さんは女子小学生に興味があります。(10),柚木涼太,2023-08-17,竹書房,バンブー,,10,,http://yurinavi.com/2023/07/21/oneesanha-jyoshisyougakuseini-10/,http://yurinavi.com/wp-content/uploads/2023/07/onesyo-10.jpg
みなそこにて (3),冬虫カイコ,2023-08-17,双葉社,ｱｸｼｮﾝ,,3,,http://yurinavi.com/2023/07/08/minasokonite-3/,http://yurinavi.com/wp-content/uploads/2023/07/minasokonite-3.jpg
らぶ あんど ぴーす (2),原田重光 / 蘇募ロウ,2023-08-17,講談社,マガジン,,2,,http://yurinavi.com/2023/07/31/love-and-2/,http://yurinavi.com/wp-content/uploads/2023/07/love-and-2.jpg
ぜんぶ壊して地獄で愛して (1),くわばら たもつ,2023-08-18,一迅社,百合姫,,1,,http://yurinavi.com/2023/07/03/zenbukowashite-1/,http://yurinavi.com/wp-content/uploads/2023/07/zenbukowashite-1.jpg
コミック百合姫2023年10月号,,2023-08-18,一迅社,,,,,http://yurinavi.com/2023/08/16/yurihime-202310/,http://yurinavi.com/wp-content/uploads/2023/08/yurihime-202310.jpg
きみと観たいレースがある (2),くわばら たもつ / 渡辺零 / 駿馬京,2023-08-18,ホーム,,,2,,http://yurinavi.com/2023/07/05/kimitomitai-2/,http://yurinavi.com/wp-content/uploads/2023/07/kimitomitai-2.jpg
笑顔のたえない職場です。(8),くずしろ,2023-08-18,講談社,KC,,8,,http://yurinavi.com/2023/07/18/egaono-taenai-8/,http://yurinavi.com/wp-content/uploads/2023/07/egaono-taenai-7.jpg
雨夜の月 (5),くずしろ,2023-08-18,講談社,ヤンマガ,,5,,http://yurinavi.com/2023/07/18/amayono-tsuki-5/,http://yurinavi.com/wp-content/uploads/2023/07/amayonotsuki-5.jpg
タダでは抱かれません (6),檜原フキ,2023-08-18,講談社,ヤンマガ,,6,,http://yurinavi.com/2023/07/18/tadadeha-6/,http://yurinavi.com/wp-content/uploads/2023/07/tadadeha-6.jpg
双子姉妹ちゃんの百合生活,LIN,2023-08-19,渋谷六花,アシオナ,,1,True,http://yurinavi.com/2023/08/17/futagoshimaichanno-1/,http://yurinavi.com/wp-content/uploads/2023/08/futagoshimaichanno-1.jpg
はなものがたり (3),schwinn,2023-08-22,カドカワ,ﾌﾗｯﾊﾟｰ,,3,,http://yurinavi.com/2023/07/06/hanamonogatari-3/,http://yurinavi.com/wp-content/uploads/2023/07/hanamonogatari-3.jpg
結婚したい竜宮さんは上陸しました (1),朱子すず,2023-08-22,カドカワ,あすか,,1,,http://yurinavi.com/2023/07/31/kekkonnshitai-tatsunomiyasan-1/,http://yurinavi.com/wp-content/uploads/2023/07/kekkonshitai-tatsunomiyasan-1.jpg
志乃と恋,千種 みのり,2023-08-23,カドカワ,MFC,,1,True,http://yurinavi.com/2023/07/06/shinoto-ren/,http://yurinavi.com/wp-content/uploads/2023/07/shinoto-ren.jpg
処刑少女の生きる道 (6),佐藤真登 / 三ツ谷亮,2023-08-25,スクエニ,ガンガン,,6,,http://yurinavi.com/2023/07/05/syokeisyoujyo-comic-6/,http://yurinavi.com/wp-content/uploads/2023/07/syokeisyoujyo-comic-6.jpg
ばっどがーる (3),肉丸,2023-08-25,芳文社,きらら,,3,,http://yurinavi.com/2023/07/09/bad-girl-3/,http://yurinavi.com/wp-content/uploads/2023/07/bad-girl-3.jpg
ぼっち・ざ・ろっく！(6),はまじあき,2023-08-25,芳文社,きらら,,6,,http://yurinavi.com/2023/07/09/bocchi-the-6/,http://yurinavi.com/wp-content/uploads/2023/07/bocchi-the-6.jpg
ぼっち・ざ・ろっく！アンソロジーコミック (2),アンソロジー,2023-08-25,芳文社,きらら,,2,,http://yurinavi.com/2023/07/09/bocchi-the-ansoro-2/,http://yurinavi.com/wp-content/uploads/2023/07/bocchi-the-ansoro-2.jpg
またぞろ。(3),幌田,2023-08-25,芳文社,きらら,,3,,http://yurinavi.com/2023/07/09/matazoro-3/,http://yurinavi.com/wp-content/uploads/2023/07/matazoro-3.jpg
私を喰べたい、ひとでなし (7),苗川 采,2023-08-25,カドカワ,電撃,,7,,http://yurinavi.com/2023/07/19/watatabe-7/,http://yurinavi.com/wp-content/uploads/2023/07/watatabe-7.jpg
悪いが私は百合じゃない (5),もちオーレ,2023-08-25,カドカワ,電撃,,5,,http://yurinavi.com/2023/07/19/wagayuri-5/,http://yurinavi.com/wp-content/uploads/2023/07/wagayuri-5.jpg
どれが恋かがわからない (3),奥たまむし,2023-08-25,カドカワ,MFC,,3,,http://yurinavi.com/2023/07/19/doregakoikaga-3/,http://yurinavi.com/wp-content/uploads/2023/07/doregakoikaga-3.jpg
偽りのマリィゴールド (1),サスケ,2023-08-25,カドカワ,MFC,,1,,http://yurinavi.com/2023/07/21/itsuwarino-1/,http://yurinavi.com/wp-content/uploads/2023/07/itsuwarino-1.jpg
キャンディ (1),鈴木有布子,2023-08-25,ｿﾙﾏｰﾚ,ｿﾜﾚ,,1,,http://yurinavi.com/2023/08/21/candy-1/,http://yurinavi.com/wp-content/uploads/2023/08/candy-1.jpg
キャンディ (2),鈴木有布子,2023-08-25,ｿﾙﾏｰﾚ,ｿﾜﾚ,,2,,http://yurinavi.com/2023/08/21/candy-2/,http://yurinavi.com/wp-content/uploads/2023/08/candy-2.jpg
